CX-10-1,CX-10-2,CX-10-3,CX-10-4,CX-11-1,CX-11-2,CX-11-3,CX-11-4,WT-10,BT-11,BT-12,WT-13,BT-30,WT-31,BT-32,WT-33,BT-34,WT-35,WT-40,BT-41,WT-42,BT-43,BT-60,WT-61,WT-62,BT-63,WT-64,BT-65,BT-66,WT-67,WT-20,BT-21,WT-22,BT-23,WT-24,BT-25,WT-26,BT-27,WT-28,BT-29,FM-20,FM-30,FM-40,FM-60,ST-10,ST-11,ST-12_SE,ST-13,ST-14_S,AT-01,AT-02,ST-12_N,ST-12_SW,ST-14_E,ST-14_W,ST-14_N,Desired_Power,Power_Input_Signal,Power_Output,FM-20(kg/hr),FM-30(kg/hr),FM-40(kg/hr),FM-60(kg/hr),Timestamp, CTAH_Frequency
19.4291266,19.3841123,19.5246006,19.4859913,19.4236885,19.4127905,19.4606117,19.2926265,19.4423931,19.4168073,19.3715326,19.3340954,19.4451244,19.4408602,19.4273195,19.4123941,19.4363218,19.5239674,19.1043187,19.139878,19.4884524,19.4924792,19.6174516,19.6037164,19.4611307,19.482924,19.9741384,19.9152139,19.7386327,19.7085646,19.5132624,19.535527,19.4275101,19.432722,19.4552204,19.4087871,19.4130516,19.3957565,19.4110099,19.4233293,-0.0123568,-0.0045539,-0.0132038,-0.0040101,19.5391679,19.5041127,19.4022485,19.4250789,19.5135512,19.2111542,20.1741068,19.4489193,19.5122529,19.4020983,19.4810999,19.4217622,0,0,0,0.0222983,0.0173083,0.0752387,0.0003147,331.3538614,0
19.39062,19.3636098,19.4647618,19.4529173,19.3728403,19.3880039,19.4424903,19.2811341,19.4673775,19.4083891,19.3600421,19.2925091,19.3655199,19.3804468,19.4184283,19.4134532,19.4077672,19.48618,19.0434984,19.0785882,19.4689021,19.4662963,19.64299,19.629966,19.4902307,19.4966263,19.9971085,19.9549887,19.7656389,19.7336785,19.4978928,19.5016827,19.4339332,19.4014763,19.4132944,19.4064239,19.3332107,19.4104515,19.3742866,19.4055608,-0.0123567,-0.0045541,-0.0132024,-0.0040066,19.5622425,19.519136,19.4416763,19.4649621,19.5402318,19.2265863,20.2003869,19.4689189,19.5391021,19.4213728,19.5075454,19.4386669,0,0,0,0.0222938,0.0173151,0.0751481,0.0002078,331.4538614,0
19.4081308,19.3808846,19.4789304,19.4621116,19.4095192,19.3725589,19.4771957,19.2940504,19.467593,19.4356123,19.3876459,19.3044772,19.3846936,19.4157302,19.4442358,19.4115427,19.4503951,19.4845067,19.0964475,19.1678016,19.500722,19.4834302,19.6384092,19.5943624,19.4882541,19.4655134,19.9920573,19.8917194,19.7672137,19.7151293,19.5319106,19.5198309,19.4390547,19.3930937,19.4820148,19.4275295,19.4012321,19.3848843,19.3920384,19.4204685,-0.012357,-0.0045533,-0.0132055,-0.0040087,19.5615119,19.4762422,19.402803,19.410307,19.5240568,19.2121437,20.1720193,19.4660561,19.5370395,19.418599,19.472419,19.4335241,0,0,0,0.0223148,0.0172901,0.0753455,0.0002721,331.5538614,0
19.3536589,19.3761681,19.4312922,19.4744069,19.4038105,19.3777487,19.4344899,19.2290497,19.4247368,19.4114697,19.3669676,19.3191038,19.3834357,19.4272655,19.4071661,19.443413,19.4287251,19.4832103,19.046611,19.1011409,19.4634839,19.4864615,19.6421231,19.6108648,19.486521,19.4900742,19.9995618,19.9501063,19.7702239,19.7084326,19.5582157,19.570768,19.420828,19.4357531,19.4429018,19.447166,19.384858,19.3839103,19.3727738,19.3938605,-0.0123558,-0.0045522,-0.0132055,-0.0040064,19.5581533,19.5095985,19.4446929,19.4365343,19.5327066,19.2255569,20.1882433,19.4563008,19.5265484,19.4476685,19.4836754,19.4493268,0,0,0,0.0222367,0.0172562,0.0753431,0.000199,331.6538614,0
19.4308594,19.3903469,19.4637777,19.5163639,19.3931797,19.4092902,19.4418712,19.2942595,19.4346499,19.4318071,19.4113102,19.3523146,19.3968059,19.4700091,19.4149826,19.4730227,19.4635472,19.4995529,19.0993605,19.1263861,19.4681009,19.4889464,19.6186519,19.6046799,19.490994,19.4886252,19.9876464,19.9381896,19.7663517,19.7126099,19.508074,19.5732076,19.4282434,19.4692264,19.4790909,19.4359767,19.3923846,19.4160764,19.3761932,19.3939628,-0.0123579,-0.0045529,-0.0132034,-0.0040061,19.5549332,19.50472,19.4251258,19.4489374,19.5198852,19.2184197,20.1066095,19.4566335,19.5458177,19.430933,19.4900399,19.4328282,0,0,0,0.0223664,0.017277,0.0752141,0.0001908,331.7538614,0
19.3677639,19.4106475,19.4194023,19.5115515,19.3362392,19.400686,19.4056839,19.2777308,19.4322063,19.4357599,19.4104222,19.3687233,19.3559145,19.4698702,19.3698176,19.4648192,19.428574,19.5420382,19.0759173,19.1211984,19.4167214,19.4856578,19.6165934,19.6130413,19.4815918,19.4768542,19.9834913,19.9158117,19.7494108,19.7011126,19.4675531,19.5428769,19.3827401,19.4260962,19.4417305,19.4703944,19.3315592,19.4355711,19.3362478,19.3855314,-0.0123579,-0.0045544,-0.0132031,-0.0040061,19.5557874,19.5062849,19.4165038,19.4288781,19.5242865,19.2084479,20.196241,19.4439848,19.5155776,19.4260352,19.4875721,19.4111098,0,0,0,0.0223676,0.0173235,0.0751934,0.0001911,331.8538614,0
19.3870809,19.3088884,19.4778983,19.4205696,19.366314,19.3231893,19.4528615,19.2533542,19.4434662,19.4339901,19.3758646,19.299803,19.36812,19.3934716,19.3956967,19.3788748,19.4497119,19.4338397,19.0911357,19.1027524,19.4752802,19.4935198,19.6202414,19.6100585,19.4968477,19.492584,19.9802336,19.9392954,19.7740865,19.7179779,19.4955309,19.5154278,19.4211472,19.373052,19.4632101,19.364654,19.35257,19.3158421,19.3607749,19.3586425,-0.0123573,-0.0045554,-0.0132031,-0.0040063,19.5454343,19.5139326,19.4198886,19.452016,19.5313472,19.2288406,20.1981427,19.4625305,19.5477115,19.4361439,19.487764,19.4297474,0,0,0,0.0223309,0.0173571,0.0751935,0.0001977,331.9538614,0
19.3970089,19.3434614,19.5101511,19.4161063,19.4232137,19.3405251,19.4730513,19.2436916,19.4247279,19.4005627,19.3704694,19.3038858,19.410612,19.4001876,19.4659178,19.4036124,19.4441237,19.4422285,19.0777483,19.0888912,19.4754063,19.4337132,19.6135965,19.6195168,19.4762252,19.4793047,19.9849239,19.9219776,19.7785421,19.7115431,19.5183269,19.5339594,19.3842446,19.3505995,19.4608241,19.3677171,19.4151021,19.3314643,19.3672545,19.39308,-0.0123585,-0.0045561,-0.0132043,-0.0040061,19.5503501,19.500847,19.4094065,19.4300077,19.5114898,19.1997085,20.1435249,19.4416259,19.5294974,19.4236112,19.4847233,19.4179254,0,0,0,0.0224054,0.0173782,0.0752676,0.0001893,332.0538614,0
19.3887534,19.329755,19.4854814,19.4236523,19.3843239,19.3556546,19.460687,19.2675818,19.426897,19.4162361,19.3799005,19.342227,19.3957594,19.4201618,19.4139335,19.4335969,19.4264898,19.4525488,19.0648472,19.0911636,19.4850201,19.4670171,19.647164,19.6028812,19.4910898,19.5074339,19.982423,19.9069335,19.7724892,19.7040687,19.5124615,19.5406474,19.3880916,19.3925931,19.4677053,19.4001879,19.4212733,19.3637007,19.3919686,19.3853347,-0.0123574,-0.0045562,-0.0132039,-0.0040066,19.5511312,19.5035231,19.4232179,19.4474001,19.5422653,19.2095344,20.0598889,19.4604111,19.524622,19.4106797,19.4832863,19.4225253,0,0,0,0.0223375,0.017381,0.0752445,0.0002056,332.1538614,0
19.402709,19.3851766,19.5221579,19.4979977,19.4210083,19.3987382,19.4606525,19.2962219,19.4659621,19.4567234,19.4064015,19.2777377,19.4250229,19.4224169,19.4569377,19.428036,19.430642,19.534158,19.084109,19.116825,19.5165815,19.455941,19.6312606,19.5912392,19.4858408,19.4946051,19.9909393,19.9107179,19.7791155,19.716615,19.4957609,19.5277375,19.4232724,19.4246939,19.4644038,19.4234204,19.405178,19.4144177,19.3871161,19.4283396,-0.0123563,-0.0045551,-0.013203,-0.0040069,19.5508666,19.4866774,19.4094493,19.4388723,19.5261445,19.2059468,20.2176329,19.4644105,19.543097,19.411154,19.4728487,19.4239473,0,0,0,0.0222667,0.0173483,0.0751886,0.0002147,332.2538614,0
